Season,RoundNumber,RaceName,Team,Driver,QualifyingPos,RaceFinishPos,RacePoints,TeamStd
2025,13,Belgian Grand Prix,Aston Martin,STR,20.0,14.0,0.0,Aston Martin/Racing Point/Force India
2025,14,Hungarian Grand Prix,Ferrari,LEC,1.0,4.0,12.0,Ferrari
2025,14,Hungarian Grand Prix,McLaren,PIA,2.0,2.0,18.0,McLaren
2025,14,Hungarian Grand Prix,McLaren,NOR,3.0,1.0,25.0,McLaren
2025,14,Hungarian Grand Prix,Mercedes,RUS,4.0,3.0,15.0,Mercedes
2025,14,Hungarian Grand Prix,Aston Martin,ALO,5.0,5.0,10.0,Aston Martin/Racing Point/Force India
2025,14,Hungarian Grand Prix,Aston Martin,STR,6.0,7.0,6.0,Aston Martin/Racing Point/Force India
2025,14,Hungarian Grand Prix,Kick Sauber,BOR,7.0,6.0,8.0,Sauber/Alfa Romeo
2025,14,Hungarian Grand Prix,Red Bull Racing,VER,8.0,9.0,2.0,Red Bull Racing
2025,14,Hungarian Grand Prix,Racing Bulls,LAW,9.0,8.0,4.0,RB/AlphaTauri/Toro Rosso
2025,14,Hungarian Grand Prix,Racing Bulls,HAD,10.0,11.0,0.0,RB/AlphaTauri/Toro Rosso
2025,14,Hungarian Grand Prix,Haas F1 Team,BEA,11.0,20.0,0.0,Haas
2025,14,Hungarian Grand Prix,Ferrari,HAM,12.0,12.0,0.0,Ferrari
2025,14,Hungarian Grand Prix,Williams,SAI,13.0,14.0,0.0,Williams
2025,14,Hungarian Grand Prix,Alpine,COL,14.0,18.0,0.0,Alpine/Renault
2025,14,Hungarian Grand Prix,Mercedes,ANT,15.0,10.0,1.0,Mercedes
2025,14,Hungarian Grand Prix,Red Bull Racing,TSU,16.0,17.0,0.0,Red Bull Racing
2025,14,Hungarian Grand Prix,Alpine,GAS,17.0,19.0,0.0,Alpine/Renault
2025,14,Hungarian Grand Prix,Haas F1 Team,OCO,18.0,16.0,0.0,Haas
2025,14,Hungarian Grand Prix,Kick Sauber,HUL,19.0,13.0,0.0,Sauber/Alfa Romeo
2025,14,Hungarian Grand Prix,Williams,ALB,20.0,15.0,0.0,Williams
2025,15,Dutch Grand Prix,McLaren,PIA,1.0,1.0,25.0,McLaren
2025,15,Dutch Grand Prix,McLaren,NOR,2.0,18.0,0.0,McLaren
2025,15,Dutch Grand Prix,Red Bull Racing,VER,3.0,2.0,18.0,Red Bull Racing
2025,15,Dutch Grand Prix,Racing Bulls,HAD,4.0,3.0,15.0,RB/AlphaTauri/Toro Rosso
