Team,Season,SponsorName,SponsorIndustry,OriginalSponsorName,CorrectionID
Ferrari,2020,Pirelli,Automotive,Pirelli,
Red Bull,2020,Rauch,Beverages/Food,Rauch,
Red Bull,2020,Honda,Automotive,Honda,
Red Bull,2020,Mobil 1 Esso,Energy/Oil,Mobil 1 Esso,
Red Bull,2020,Aston Martin,Automotive,Aston Martin,
Red Bull,2020,Puma,Apparel,Puma,
Red Bull,2020,Tag Heuer,Luxury Watches,Tag Heuer,
Red Bull,2020,Citrix,Technology,Citrix,
Red Bull,2020,Piquadro,Fashion,Piquadro,
Red Bull,2020,Siemens,Industrial,Siemens,
Red Bull,2020,AT&T,Telecom,AT&T,
Red Bull,2020,Hewlett Packard,Technology,Hewlett Packard,
Red Bull,2020,Iris,Technology,Iris,
Red Bull,2020,AlphaTauri,Apparel,AlphaTauri,
Red Bull,2020,IBM,Technology,IBM,
Red Bull,2020,Dita,Fashion,Dita,
Red Bull,2020,W66.com,Gambling/Betting,W66.com,
Red Bull,2020,PayVoo,Payments,PayVoo,
Red Bull,2020,myWorld,Finance,myWorld,
Red Bull,2020,Hexagon,Technology,Hexagon,
Red Bull,2020,DMG Mori,Industrial,DMG Mori,
Red Bull,2020,PWR,Automotive,PWR,
Red Bull,2020,Snowflake,Technology,Snowflake,
Red Bull,2020,Ansys,Technology,Ansys,
Red Bull,2020,Sabelt,Automotive,Sabelt,
Red Bull,2020,OZ,Automotive,OZ,
Red Bull,2020,Mitie,Services,Mitie,
Red Bull,2020,kx technology,Technology,kx technology,
Red Bull,2020,GoldStandard,Finance,GoldStandard,
Red Bull,2020,Pirelli,Automotive,Pirelli,
McLaren,2020,British-American Tobacco,Tobacco,British-American Tobacco,
McLaren,2020,Splunk,Technology,Splunk,
McLaren,2020,DarkTrace,Cybersecurity,DarkTrace,
McLaren,2020,Dell,Technology,Dell,
McLaren,2020,Huski Chocolate,Beverages/Food,Huski Chocolate,
McLaren,2020,Gulf,Energy/Oil,Gulf,
McLaren,2020,Arrow,Technology,Arrow,
