Season,RoundNumber,RaceName,Team,Driver,QualifyingPos,RaceFinishPos,RacePoints,TeamStd
2018,14,Italian Grand Prix,Sauber,ERI,19.0,15.0,0.0,Sauber/Alfa Romeo
2018,14,Italian Grand Prix,McLaren,VAN,20.0,12.0,0.0,McLaren
2018,15,Singapore Grand Prix,Mercedes,HAM,1.0,1.0,25.0,Mercedes
2018,15,Singapore Grand Prix,Red Bull Racing,VER,2.0,2.0,18.0,Red Bull Racing
2018,15,Singapore Grand Prix,Ferrari,VET,3.0,3.0,15.0,Ferrari
2018,15,Singapore Grand Prix,Mercedes,BOT,4.0,4.0,12.0,Mercedes
2018,15,Singapore Grand Prix,Ferrari,RAI,5.0,5.0,10.0,Ferrari
2018,15,Singapore Grand Prix,Red Bull Racing,RIC,6.0,6.0,8.0,Red Bull Racing
2018,15,Singapore Grand Prix,Racing Point,PER,7.0,16.0,0.0,Aston Martin/Racing Point/Force India
2018,15,Singapore Grand Prix,Haas F1 Team,GRO,8.0,15.0,0.0,Haas
2018,15,Singapore Grand Prix,Racing Point,OCO,9.0,20.0,0.0,Aston Martin/Racing Point/Force India
2018,15,Singapore Grand Prix,Renault,HUL,10.0,10.0,1.0,Alpine/Renault
2018,15,Singapore Grand Prix,McLaren,ALO,11.0,7.0,6.0,McLaren
2018,15,Singapore Grand Prix,Renault,SAI,12.0,8.0,4.0,Alpine/Renault
2018,15,Singapore Grand Prix,Sauber,LEC,13.0,9.0,2.0,Sauber/Alfa Romeo
